Time,x,y,z, ------ 
52.847,0.01,-0.07,9.92,  
53.017,0.01,-0.18,9.85,  
53.183,-0.05,-0.09,9.81,  
53.35,-0.03,-0.1,9.83,  
53.517,-0.02,-0.11,9.84,  
53.683,-0.06,-0.08,9.85,  
54.006,0,-0.14,9.67,  
54.173,0.05,-0.03,9.91,  
54.34,0,-0.09,9.84,  
54.509,-0.05,-0.09,10,  
54.674,-0.08,0.05,9.35,  
54.841,-0.07,-0.08,9.87,  
55.009,-0.01,-0.02,9.65,  
55.178,-0.01,-0.12,9.94,  
55.347,-0.18,0.02,9.52,  
55.513,-0.04,-0.12,9.85,  
55.68,-0.11,-0.1,9.74,  
55.846,-0.02,-0.03,9.92,  
56.016,0.06,-0.13,9.91,  
56.182,-0.07,-0.02,9.7,  
56.35,-0.04,-0.12,9.77,  
56.518,-0.07,-0.04,9.84,  
56.685,-0.04,-0.05,9.8,  
,,,,
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
,,,,  
