 -----, ------, ------, -------, ------ 
Time, X, Y, Z, A 
8.55099, -0.029, 4.908, -0.401, 1001.92 
8.585, -0.045, 4.899, -0.392, 1001.92 
8.62, -0.033, 4.905, -0.386, 1001.98 
8.654, -0.033, 4.908, -0.395, 1001.79 
8.688, -0.035, 4.903, -0.383, 1001.82 
8.722, -0.036, 4.896, -0.389, 1001.96 
8.756, -0.037, 4.896, -0.389, 1001.99 
8.79, -0.035, 4.89, -0.389, 1001.99 
8.825, -0.037, 4.902, -0.386, 1001.83 
8.859, -0.042, 4.897, -0.389, 1001.81 
8.893, -0.039, 4.904, -0.386, 1001.86 
8.927, -0.038, 4.905, -0.388, 1001.79 
8.961, -0.037, 4.898, -0.39, 1001.96 
8.996, -0.032, 4.908, -0.389, 1001.86 
9.029, -0.041, 4.901, -0.386, 1001.91 
9.063, -0.039, 4.902, -0.39, 1001.72 
9.098, -0.042, 4.893, -0.392, 1001.92 
9.132, -0.042, 4.901, -0.402, 1001.9 
9.166, -0.035, 4.899, -0.379, 1001.79 
9.2, -0.049, 4.902, -0.384, 1001.74 
9.234, -0.043, 4.892, -0.382, 1002.0 
9.268, -0.031, 4.905, -0.386, 1001.75 
9.302, -0.036, 4.899, -0.384, 1001.9 
9.376, -0.031, 4.893, -0.392, 1001.82 
9.413, -0.037, 4.895, -0.388, 1001.94 
9.447, -0.028, 4.896, -0.395, 1001.9 
9.481, -0.032, 4.908, -0.389, 1001.86 
9.516, -0.039, 4.904, -0.391, 1001.84 
9.55, -0.03, 4.905, -0.389, 1001.74 
9.585, -0.036, 4.909, -0.395, 1001.69 
9.62, -0.03, 4.905, -0.376, 1001.72 
9.654, -0.038, 4.905, -0.386, 1001.91 
9.693, -0.037, 4.902, -0.388, 1001.9 
9.728, -0.032, 4.896, -0.38, 1001.95 
9.762, -0.031, 4.898, -0.392, 1001.86 
9.797, -0.028, 4.906, -0.386, 1001.97 
9.831, -0.03, 4.911, -0.388, 1001.75 
9.866, -0.022, 4.908, -0.385, 1001.97 
9.901, -0.033, 4.901, -0.386, 1001.9 
9.935, -0.028, 4.896, -0.389, 1001.89 
9.97, -0.033, 4.903, -0.392, 1001.87 
10.004, -0.039, 4.904, -0.386, 1001.68 
10.038, -0.033, 4.897, -0.384, 1002.0 
10.073, -0.033, 4.892, -0.388, 1001.89 
10.107, -0.031, 4.904, -0.386, 1001.93 
10.141, -0.037, 4.895, -0.385, 1001.92 
10.175, -0.026, 4.901, -0.392, 1001.81 
10.21, -0.032, 4.898, -0.386, 1002.0 
10.245, -0.036, 4.897, -0.389, 1001.84 
10.28, -0.038, 4.901, -0.386, 1001.9 
10.314, -0.038, 4.897, -0.392, 1001.81 
10.348, -0.022, 4.902, -0.383, 1001.94 
10.383, -0.031, 4.91, -0.388, 1001.66 
10.417, -0.044, 4.899, -0.384, 1001.95 
10.452, -0.032, 4.898, -0.394, 1002.04 
10.487, -0.03, 4.898, -0.4, 1002.13 
10.521, -0.033, 4.893, -0.39, 1001.95 
10.556, -0.035, 4.899, -0.386, 1001.98 
10.59, -0.033, 4.901, -0.374, 1001.72 
10.623, -0.03, 4.904, -0.382, 1001.93 
10.659, -0.036, 4.909, -0.397, 1001.83 
10.693, -0.032, 4.891, -0.396, 1001.75 
10.728, -0.029, 4.903, -0.395, 1001.85 
10.762, -0.042, 4.898, -0.391, 1001.98 
10.8, -0.036, 4.909, -0.389, 1001.93 
10.835, -0.035, 4.902, -0.392, 1001.84 
10.87, -0.031, 4.899, -0.389, 1001.74 
10.904, -0.028, 4.895, -0.392, 1001.75 
10.939, -0.032, 4.895, -0.392, 1001.79 
10.973, -0.038, 4.908, -0.389, 1001.9 
11.008, -0.033, 4.893, -0.391, 1002.05 
11.042, -0.037, 4.895, -0.392, 1001.94 
11.078, -0.032, 4.898, -0.379, 1001.92 
11.112, -0.031, 4.891, -0.392, 1001.8 
11.146, -0.028, 4.899, -0.392, 1001.86 
11.181, -0.028, 4.906, -0.391, 1001.88 
11.215, -0.045, 4.898, -0.388, 1001.81 
11.249, -0.032, 4.895, -0.389, 1001.76 
11.284, -0.024, 4.905, -0.397, 1001.79 
11.319, -0.036, 4.898, -0.391, 1001.81 
11.354, -0.039, 4.893, -0.389, 1001.97 
11.388, -0.031, 4.908, -0.38, 1001.73 
11.422, -0.035, 4.902, -0.39, 1002.26 
11.457, -0.041, 4.893, -0.386, 1001.77 
11.492, -0.032, 4.903, -0.388, 1002.06 
11.525, -0.03, 4.906, -0.388, 1001.94 
